"4.1595621631,3169.1935735846"
"7.19685673,4.757944314"
"100,3.4737372355"
"131.5369050436,4.2842870177"
"215.4434690032,6.5169103361"
"393.7658923564,22.9367198063"
"439.3970560761,3007.311175114"
