"9e-10,0.0000574134"
"3.7e-9,1.181e-7"
"4.2e-9,8.62e-8"
"4.4e-9,1.88e-8"
"5.2e-9,2.09e-8"
"7.2e-9,1.18e-8"
"8e-9,4.84e-8"
"2.68e-8,3.9e-9"
"2.99e-8,1.7e-9"
"4.16e-8,1e-9"
"0.000253958,0.0756062808"
"0.0068129207,0.0029294978"
"0.094665226,0.0000043981"
"0.2833876712,0.0000010677"
"0.7602429141,2.732e-7"
"2.039500469,5.67e-8"
"7.6024291408,7.3e-9"
"25.3958003832,1.1e-9"
